Route,Stop Name,Avg Delay (min),Std Delay,Min Delay,Max Delay,Sample Count,Most Common Hour
002,Burrard Station @ Bay 1,-0.2791666666666667,0.8516188288369565,-1.2166666666666668,0.75,4,18.0
002,Burrard Station @ Bay 7,-0.5770833333333333,4.6502768094772495,-10.716666666666667,4.033333333333333,8,18.0
002,Eastbound Cornwall Ave @ Arbutus St,-2.4452380952380954,4.185432345092191,-11.8,-0.08333333333333333,7,18.0
002,Eastbound Cornwall Ave @ Balsam St,-2.0309523809523813,4.590765979129439,-11.8,1.65,7,18.0
002,Eastbound Cornwall Ave @ Cypress St,-2.011904761904762,4.374862053758723,-11.683333333333334,0.9666666666666667,7,18.0
002,Eastbound Cornwall Ave @ Trafalgar St,-1.680952380952381,4.576221032882803,-11.366666666666667,2.1333333333333333,7,18.0
002,Eastbound Cornwall Ave @ Yew St,-2.2714285714285714,4.462764820295804,-11.95,1.3666666666666667,7,18.0
002,Eastbound W 41 Ave @ Blenheim St,-1.7555555555555555,3.1774523920436173,-5.416666666666667,0.2833333333333333,3,18.0
002,Eastbound W 41 Ave @ Carnarvon St,-1.6944444444444446,3.7452315361348836,-5.95,1.1,3,18.0
002,Eastbound W 41 Ave @ Collingwood St,-5.1,,-5.1,-5.1,1,19.0
002,Northbound Burrard St @ Comox St,-2.0583333333333336,4.394368690776434,-11.9,2.4166666666666665,8,18.0
002,Northbound Burrard St @ Davie St,-2.3041666666666667,4.357430708680561,-12.633333333333333,1.3,8,18.0
002,Northbound Burrard St @ Pacific St,-3.2145833333333336,4.209507733351117,-13.3,-0.11666666666666667,8,18.0
002,Northbound Burrard St @ Robson St,-1.0020833333333332,4.719189443955022,-11.366666666666667,3.4833333333333334,8,18.0
002,Northbound Burrard St @ Smithe St,-1.5354166666666669,4.657094242734872,-11.833333333333334,2.4833333333333334,8,18.0
002,Northbound Macdonald St @ Oliver Cres,-3.2375000000000003,3.670840427537602,-8.65,-0.5833333333333334,4,18.0
002,Northbound Macdonald St @ W 10 Ave,-1.8083333333333333,4.543270359064663,-10.133333333333333,3.3,6,18.0
002,Northbound Macdonald St @ W 12 Ave,-2.1666666666666665,4.532585722667949,-10.316666666666666,3.35,6,18.0
002,Northbound Macdonald St @ W 13 Ave,-2.2083333333333335,4.5202476579153155,-10.116666666666667,3.6,6,18.0
002,Northbound Macdonald St @ W 16 Ave,-2.3600000000000003,4.925494898992384,-9.75,4.05,5,18.0
002,Northbound Macdonald St @ W 22 Ave,-3.5875,3.840726566101205,-9.283333333333333,-1.1333333333333333,4,18.0
002,Northbound Macdonald St @ W 2nd Ave,-0.9476190476190476,4.5946872356723905,-10.633333333333333,2.8666666666666667,7,18.0
002,Northbound Macdonald St @ W 4th Ave,-0.7595238095238095,4.597763719128161,-10.383333333333333,3.15,7,18.0
002,Northbound Macdonald St @ W 5th Ave,-1.519047619047619,4.425247728694684,-10.716666666666667,2.85,7,18.0
002,Northbound Macdonald St @ W 7th Ave,-1.8388888888888888,4.601324286027359,-10.466666666666667,3.1666666666666665,6,18.0
002,Northbound Macdonald St @ W King Edward Ave,-3.1708333333333334,3.7415924268804175,-8.683333333333334,-0.65,4,18.0
002,Northbound Mackenzie St @ W 30 Ave,-2.7,3.422231240969357,-7.783333333333333,-0.43333333333333335,4,18.0
002,Northbound Mackenzie St @ W 34 Ave,-2.6444444444444444,3.9747233772837482,-7.2,0.11666666666666667,3,18.0
