route_short_name,stop_name,observations,avg_actual_headway_min,scheduled_headway_minutes,headway_delta_min,bunching_rate_pct,gap_rate_pct
002,Burrard Station @ Bay 1,25,11.626,4.216666666666667,7.4093333333333335,8.0,68.0
002,Burrard Station @ Bay 7,132,1.6631313131313132,4.2252331002331,-2.562101787101787,84.84848484848484,8.333333333333332
002,Dunbar Loop @ Bay 2,19,19.473684210526315,3.511111111111111,15.962573099415204,0.0,100.0
002,Eastbound Cornwall Ave @ Arbutus St,94,2.0914893617021275,4.229778554778555,-2.138289193076427,79.7872340425532,9.574468085106384
002,Eastbound Cornwall Ave @ Balsam St,90,2.2198148148148147,4.230652680652681,-2.010837865837866,78.88888888888889,10.0
002,Eastbound Cornwall Ave @ Cypress St,100,1.8966666666666667,4.229195804195804,-2.3325291375291375,81.0,9.0
002,Eastbound Cornwall Ave @ Trafalgar St,87,2.353639846743295,4.231235431235431,-1.8775955844921361,78.16091954022988,10.344827586206897
002,Eastbound Cornwall Ave @ Yew St,93,2.1141577060931898,4.23006993006993,-2.11591222397674,79.56989247311827,9.67741935483871
002,Eastbound W 41 Ave @ Blenheim St,26,6.5807692307692305,5.9157723577235775,0.6649968730456536,26.923076923076923,23.076923076923077
002,Eastbound W 41 Ave @ Carnarvon St,29,6.281609195402299,5.914959349593496,0.3666498458088029,31.03448275862069,24.137931034482758
002,Eastbound W 41 Ave @ Collingwood St,20,13.393333333333333,5.916341463414634,7.476991869918699,10.0,55.00000000000001
002,Northbound Burrard St @ Comox St,118,1.6336158192090395,4.226165501165501,-2.5925496819564615,85.59322033898306,8.47457627118644
002,Northbound Burrard St @ Davie St,117,1.527920227920228,4.226631701631701,-2.698711473711474,87.17948717948718,7.6923076923076925
002,Northbound Burrard St @ Pacific St,110,1.591060606060606,4.227097902097902,-2.636037296037296,85.45454545454545,7.2727272727272725
002,Northbound Burrard St @ Robson St,122,1.5863387978142076,4.2254662004662,-2.639127402651993,85.24590163934425,8.19672131147541
002,Northbound Burrard St @ Smithe St,120,1.5965277777777778,4.225757575757576,-2.629229797979798,85.83333333333333,8.333333333333332
002,Northbound Macdonald St @ Oliver Cres,32,5.3828125,5.909430894308943,-0.5266183943089431,43.75,15.625
002,Northbound Macdonald St @ W 10 Ave,73,2.822146118721461,4.2332167832167835,-1.411070664495322,73.97260273972603,12.32876712328767
002,Northbound Macdonald St @ W 12 Ave,69,2.9942028985507245,4.233508158508158,-1.239305259957434,71.01449275362319,13.043478260869565
002,Northbound Macdonald St @ W 13 Ave,64,3.1875,4.233799533799534,-1.0462995337995338,68.75,15.625
002,Northbound Macdonald St @ W 16 Ave,60,3.4625,4.234207459207459,-0.7717074592074592,61.66666666666667,16.666666666666664
002,Northbound Macdonald St @ W 22 Ave,32,5.0859375,5.908536585365853,-0.8225990853658537,43.75,15.625
002,Northbound Macdonald St @ W 2nd Ave,82,2.5,4.231993006993007,-1.731993006993007,76.82926829268293,10.975609756097562
002,Northbound Macdonald St @ W 4th Ave,83,2.4957831325301205,4.232226107226107,-1.7364429746959869,77.10843373493977,10.843373493975903
002,Northbound Macdonald St @ W 5th Ave,82,2.5638211382113822,4.232459207459208,-1.6686380692478253,76.82926829268293,10.975609756097562
002,Northbound Macdonald St @ W 7th Ave,78,2.651923076923077,4.232750582750583,-1.5808275058275059,76.92307692307693,11.538461538461538
002,Northbound Macdonald St @ W King Edward Ave,32,5.448958333333334,5.909674796747968,-0.4607164634146341,40.625,15.625
002,Northbound Mackenzie St @ W 30 Ave,32,5.694791666666666,5.940767973856209,-0.24597630718954247,37.5,18.75
002,Northbound Mackenzie St @ W 34 Ave,32,5.805208333333334,5.912764227642277,-0.1075558943089431,37.5,21.875
002,Northbound Mackenzie St @ W 38 Ave,29,5.880459770114943,5.913658536585366,-0.03319876647042332,34.48275862068966,20.689655172413794
002,Northbound Quesnel Dr @ W King Edward Ave,32,5.482291666666667,5.9107317073170735,-0.42844004065040653,40.625,18.75
002,Southbound Burrard St @ Barclay St,33,8.302525252525253,4.215967365967366,4.086557886557887,9.090909090909092,51.515151515151516
002,Southbound Burrard St @ Davie St,34,7.295588235294118,4.215326340326341,3.0802618949677774,11.76470588235294,41.17647058823529
002,Southbound Burrard St @ Harwood St,33,7.392424242424243,4.21509324009324,3.177331002331002,15.151515151515152,39.39393939393939
002,Southbound Burrard St @ Nelson St,33,7.97070707070707,4.230526315789474,3.740180754917597,9.090909090909092,48.484848484848484
002,Southbound Burrard St @ Robson St,32,8.779166666666667,4.216200466200466,4.5629662004662,6.25,56.25
002,Southbound Burrard St @ W Pender St,20,17.85,2.4308617234468937,15.419138276553106,0.0,100.0
002,Southbound Macdonald St @ Alamein Ave,22,11.661363636363637,5.813607085346216,5.8477565510174205,13.636363636363635,59.09090909090909
002,Southbound Macdonald St @ W 11 Ave,46,5.028985507246377,4.180266203703703,0.8487193035426731,41.30434782608695,32.608695652173914
002,Southbound Macdonald St @ W 13 Ave,50,4.668666666666667,4.1800347222222225,0.48863194444444447,46.0,30.0
002,Southbound Macdonald St @ W 16 Ave,22,11.971969696969698,5.8151368760064415,6.156832820963256,13.636363636363635,59.09090909090909
002,Southbound Macdonald St @ W 16th Ave,50,4.535666666666667,4.194250871080139,0.3414157955865273,48.0,30.0
002,Southbound Macdonald St @ W 1st Ave,44,5.535227272727273,4.181655092592592,1.35357218013468,38.63636363636363,36.36363636363637
002,Southbound Macdonald St @ W 21 Ave,22,11.790909090909091,5.814331723027375,5.976577367881716,13.636363636363635,59.09090909090909
002,Southbound Macdonald St @ W 4th Ave,44,5.475757575757576,4.18125,1.2945075757575757,38.63636363636363,36.36363636363637
